individuals,cluster,lat,lon
Marn_AMB5.26,Marn,-12.51827778,49.17583333
Marn_AMB5.41,Marn,-12.47727778,49.22244444
Marn_BC49_2017,Marn,-12.54365045,49.14635575
Marn_BD33_2017,Marn,-12.50846204,49.1774387
Marn_BD72_2017,Marn,-12.64437117,49.17917409
Marn_BE51_2017,Marn,-12.67233554,49.18613006
Marn_BG27_2017,Marn,-12.70878752,48.9664962
Marn_BG76_2017,Marn,-12.70438073,49.1410252
Marn_RMR154,Marn,-12.475,49.218333
Marn_RMR156,Marn,-12.475,49.218333
Marn_RMR160,Marn,-12.475,49.218333
Msp1_G40_2015,Msp1,-13.34992851,49.45200931
Msp1_G78_2015,Msp1,-13.35996274,49.44253843
Msp1_BF38_2017,Msp1,-13.28116,49.60978
Msp1_A17_2014,Msp1,-14.0928062,50.0122351
Msp1_MBB052,Msp1,-14.100894,50.013675
Msp1_B14_2014,Msp1,-13.89013932,49.43775279
Msp1_B77_2014,Msp1,-13.90157869,49.42230108
Msp1_E23_2014,Msp1,-13.76823552,49.61281286
Msp1_A45_2014,Msp1,-13.78868,49.51402
Msp1_A61_2014,Msp1,-13.76386981,49.40953385
Msp1_A100_2014,Msp1,-13.76872033,49.41458336
Msp1_F28_2015,Msp1,-13.65206963,49.5467741
Msp1_F60_2015,Msp1,-13.55642147,49.53934086
Msp1_BIN.S_K53_2011,Msp1,-13.2881446,49.6034415
Msp1_SALAF_B66_2013,Msp1,-13.435616,49.719402
Msp1_SALAF_B77_2013,Msp1,-13.449773,49.704057
Msp1_ANALV_A19_2013,Msp1,-13.607927,49.997426
Msp1_AMBH_D7_2013,Msp1,-13.64968817,50.06845102
Msp1_BEZAV_C30_2013,Msp1,-13.552369,49.895946
Msp1_BEZAV_C53_2013,Msp1,-13.547541,49.893583
Mber_Joerg73,Mber,-20.05,44.65
Mber_KIR06.30_S12,Mber,-20.06505556,44.65116667
Mber_KIR06.34,Mber,-20.064,44.56402778
Mber_RMR94,Mber,-20.05,44.65
Mber_t1329_S1234,Mber,-20.05,44.65
Mber_JMR045,Mber,-19.87,44.645
Mber_t1330,Mber,-20.05,44.65
Mber_t1332,Mber,-20.05,44.65
Mber_t1327,Mber,-20.05,44.65
Mber_t1331_S12,Mber,-20.05,44.65
Mber_t1334,Mber,-20.05,44.65
Mruf_CAISOM101,Mruf,-21.25,47.45
Mruf_E250M100,Mruf,-21.25,47.45
Mruf_PBZT116,Mruf,-21.25833333,47.42405556
Mruf_PBZT122,Mruf,-21.25833333,47.42405556
Mruf_TRA8.83,Mruf,-22.20613889,46.93869444
Mruf_TRA8.85,Mruf,-22.20677778,46.97197222
Mruf_E0F72_S12,Mruf,-21.25,47.45
Mruf_E250M91,Mruf,-21.25,47.45
Mruf_RMR144,Mruf,-21.49593333,47.4018
Mruf_RMR142,Mruf,-21.49593333,47.4018
Mruf_RMR147,Mruf,-21.49593333,47.4018
Mruf_D100M94,Mruf,-21.25,47.45
Mmyo_BEMA7.17_S12,Mmyo,-19.04655556,44.78052778
Mmyo_BEMA7.8,Mmyo,-19.04686111,44.78030556
Mmyo_RMR31,Mmyo,-19.1,44.8
Mmyo_RMR70,Mmyo,-19.1,44.8
Mmyo_JMR073_S12,Mmyo,-19.611667,44.743333
Mmyo_RMR82_S123,Mmyo,-19.25,44.45
Mmyo_RMR79,Mmyo,-19.25,44.45
Mmyo_JMR028,Mmyo,-16.52,44.486667
Mmyo_RMR81,Mmyo,-19.25,44.45
Mmyo_JMR075_S12,Mmyo,-19.611667,44.743333
Mmyo_JMR027,Mmyo,-16.52,44.486667
Mmyo_RMR80,Mmyo,-19.25,44.45
Mmyo_RMR30,Mmyo,-19.1,44.8
Mmyo_JMR072,Mmyo,-19.611667,44.743333
Mmyo_01y13_bom_S12,Mmyo,-15.86666667,46.25
Mmyo_03y06_hatsi_S12,Mmyo,-16.01666667,45.85
Mmyo_04y06_hatsi_S12,Mmyo,-16.01666667,45.85
Mmyo_06y13_bom_S12,Mmyo,-15.86666667,46.25
Mmyo_17y03_madi_S12,Mmyo,-16.3834933,46.4772467
Mbon_f08y13_zana,Mbon,-16.1333333,47.25
Mbon_f09y13_zana,Mbon,-16.1333333,47.25
Mbon_f13y15_sely,Mbon,-15.65,47.5833333
Mbon_f17y13_zana,Mbon,-16.1333333,47.25
Mbon_m07y15_sely,Mbon,-15.65,47.5833333
Mbon_301y03_ata_S12,Mbon,-16.08521061,47.30265796
Mbon_3y11_hara_S12,Mbon,-15.55,47.48
Mbon_55y04_bibo_S12,Mbon,-15.4957209,47.47992
Mbon_f07y13_zana_S12,Mbon,-16.13333333,47.26666667
Mbon_m22y13_zana_S12,Mbon,-16.13333333,47.26666667
Mdan_02y08_befa_S12,Mdan,-15.06813889,48.56977778
Mdan_42y04_koa_S12,Mdan,-15.2631508,48.2948008
Mdan_44y04_koa_S12,Mdan,-15.2631508,48.2948008
Mdan_83y04_injo_S12,Mdan,-14.7876975,47.78558
Mdan_90y04_anji_S12,Mdan,-15.1527075,47.7348825
Mrav_10y03_anko_S12,Mrav,-16.26666667,47.05
Mrav_10y13_jbb_S12,Mrav,-16.3,46.8
Mrav_13y03_anko_S12,Mrav,-16.26666667,47.05
Mrav_f143y14_mari_S12,Mrav,-15.46666667,46.8
Mrav_f63y14_mari_S12,Mrav,-15.46666667,46.8
Mrav_m125y14_mari_S12,Mrav,-15.48333333,46.8
Mrav_m178y14_mari_S12,Mrav,-15.46666667,46.8
Mrav_f325y18_mari,Mrav,-15.38742802,46.78665698
Mrav_m117y17_jabe,Mrav,-16.30659699,46.69717303
Mrav_m139y17_jabe,Mrav,-16.30110802,46.71540401
Mrav_m266y18_mari,Mrav,-15.46934302,46.69892502
Mrav_m180y18_mari,Mrav,-15.50446403,46.69652796
Mrav_f257y18_mari,Mrav,-15.47150102,46.695973
Mrav_m90y17_rav_S2,Mrav,-16.31107,46.82303
Mrav_166y03_bero,Mrav,-16,47.15
Mbor_RMR115,Mbor,-16.92277778,49.87472222
Mbor_RMR116,Mbor,-16.92277778,49.87472222
Mbor_RMR124,Mbor,-16.92277778,49.87472222
Mbor_RMR129,Mbor,-16.92277778,49.87472222
Msim_A01_2014,Msim,-16.67490746,49.70225765
Msim_A02_2014,Msim,-16.67312161,49.69889232
