,x
PC_1_Mber_JMR045,-0.0437257495159084
PC_1_Mber_Joerg73,-0.0446682063901871
PC_1_Mber_KIR06.30_S12,-0.0417767945522176
PC_1_Mber_KIR06.34,-0.0430629743116035
PC_1_Mber_RMR94,-0.0425208330522876
PC_1_Mmyo_01y13_bom_S12,-0.0467767628067437
PC_1_Mmyo_03y06_hatsi_S12,-0.0565489014541062
PC_1_Mmyo_17y03_madi_S12,-0.0467767628067437
PC_1_Mmyo_BEMA7.17_S12,-0.0200969348570065
PC_1_Mmyo_JMR027,-0.0464023964494398
PC_1_Mmyo_JMR072,-0.0472186581115981
PC_1_Mmyo_RMR31,-0.0437290595279681
PC_1_Mmyo_RMR70,-0.0447846992381449
PC_1_Mruf_CAISOM101,-0.0452120568173443
PC_1_Mruf_E250M100,-0.0521701486793915
PC_1_Mruf_PBZT116,-0.044875840033738
PC_1_Mruf_PBZT122,-0.0446460192442872
PC_1_Mruf_RMR142,-0.0495758068372693
PC_1_Mruf_TRA8.83,-0.045214851133782
PC_1_Mruf_TRA8.85,-0.0464129366235681
PC_1_Mbon_301y03_ata_S12,0.168536953023482
PC_1_Mbon_3y11_hara_S12,0.15760980302102
PC_1_Mbon_55y04_bibo_S12,0.170677011266119
PC_1_Mbon_f08y13_zana,0.139942591047022
PC_1_Mbon_f09y13_zana,0.139682985115966
PC_1_Mbon_f13y15_sely,0.187971292227557
PC_1_Mbon_f17y13_zana,0.140160300502211
PC_1_Mdan_02y08_befa_S12,0.170840740060309
PC_1_Mdan_42y04_koa_S12,0.223022344663593
PC_1_Mdan_44y04_koa_S12,0.223335549215871
PC_1_Mdan_83y04_injo_S12,0.223507000172928
PC_1_Mdan_90y04_anji_S12,0.223507000172928
PC_1_Mrav_10y03_anko_S12,0.170677011266119
PC_1_Mrav_10y13_jbb_S12,0.157016829541568
PC_1_Mrav_13y03_anko_S12,0.223507000172928
PC_1_Mrav_166y03_bero,0.133554488427878
PC_1_Mrav_f325y18_mari,0.134333633552624
PC_1_Mrav_m117y17_jabe,0.125091500427488
PC_1_Mrav_m125y14_mari_S12,0.157016829541568
PC_1_Mrav_m139y17_jabe,0.136600179886768
PC_1_Mrav_m178y14_mari_S12,0.157016829541568
PC_1_Mrav_m266y18_mari,0.133633024580593
PC_1_Mbor_RMR115,-0.0457911927334525
PC_1_Mbor_RMR116,-0.0462549901322226
PC_1_Mbor_RMR124,-0.04557156674353
PC_1_Mbor_RMR129,-0.0448906669634442
PC_1_Msim_A032014,-0.0446032504553501
PC_1_Msim_A082014,-0.0458805325913418
PC_1_Msim_BET87,-0.0476095593412883
PC_1_Msim_PBZT117,-0.0433401155383331
PC_1_Msim_POLO522,-0.0455764466522356
PC_1_Msim_ZAH2,-0.04623551002249
PC_1_Msim_ZAH5,-0.0459675591443012
PC_1_Mgan_00016A8577,0.0189494872605618
PC_1_Mgan_00016A875E,0.0208645279810604
PC_1_Mgan_00072854DC,0.0217256622136034
PC_1_Mgan_0007289B19,0.0220741618324533
PC_1_Mgan_00074C439B,0.0164850046067961
PC_1_Mman_RMR215,-0.00355495659117109
PC_1_Mman_RMR216,0.0140975141107197
PC_1_Mman_RMR217,0.0185136178710638
PC_1_Mman_RMR219,0.0232551534484948
PC_1_Mman_RMR220,0.0156062845409239
PC_1_Mmur_71y04_tsin_S12,0.0174582456388808
PC_1_Mmur_AB01,0.0244358269835006
PC_1_Mmur_KIR06.31,0.0196005756714176
PC_1_Mmur_KIR06.32,0.0177915732974674
PC_1_Mmur_MOR106,0.0219417790782193
PC_1_Mmur_Micro24,0.0180394606880207
PC_1_Mmur_RMR19,0.018978491695202
PC_1_Mmur_RMR27,0.00965680271156064
PC_1_Mmur_f102y18_mari,0.0089786075479373
PC_1_Mmur_f142y17_jabe,0.0195604458516013
PC_1_Mmur_f21y15_bomb,0.00439286484846752
PC_1_Mmur_f56y13_ampi_S12,0.0174569814337023
PC_1_Mmur_m209y18_mari,0.0113571313900519
PC_1_Mmur_m53y11_ampi_S12,0.00439286484846752
PC_1_Mger_f12y18_fina,0.0179997881381224
PC_1_Mger_f51y18_sako,0.0265891714601583
PC_1_Mger_f55y18_bao,0.0185781864330721
PC_1_Mger_m10y18_dobo,0.0204407148128581
PC_1_Mger_m17y18_fina,0.0269164860770027
PC_1_Mger_m44y18_anja,0.0239505734790397
PC_1_Mjol_LAKI5.20_S12,0.0264648168176969
PC_1_Mjol_LAKI5.24,0.0271270696983642
PC_1_Mmaro_RMR131,0.028358789539136
PC_1_Mjon_A12,0.0782139256309393
PC_1_Mjon_A23,0.0849241857848937
PC_1_Mjon_A24,0.0736354103508192
PC_1_Mjon_B13,0.0614274690785626
PC_1_Mjon_B24,0.0576615401355353
PC_1_Mjon_B34,0.0686765099297607
PC_1_Mjon_BD1,0.0537369271123227
PC_1_Mjon_MBB019,0.0742846890436408
PC_1_Mjon_MBB020,0.0854851950253891
PC_1_Mjon_MBB027,0.0779088961641322
PC_1_Mmac_01y06_hely_S12,0.0671677930508846
PC_1_Mmac_04y06_hely_S12,0.0671099359855851
PC_1_Mmac_04y13_hely_S12,0.065166355249883
PC_1_Mmac_06y08_hely_S12,0.0668175080923365
PC_1_Mmac_07y08_hely_S12,0.0696992125589548
PC_1_Mmac_08y08_hely_S12,0.0644613464516613
PC_1_Mleh_01y00_man_S12,-0.0467767628067437
PC_1_Mleh_02y00_man_S12,-0.0559852132965402
PC_1_Mleh_ANJZ11,-0.0443250219156852
PC_1_Mleh_B12,-0.0410164390245818
PC_1_Mleh_B14,-0.0437641708928841
PC_1_Mleh_BC3,-0.0441934741223431
PC_1_Mleh_C24,-0.0421535159372067
PC_1_Mleh_JMR001_S12,-0.0482153770514235
PC_1_Mleh_JMR002_S12,-0.0418318805310625
PC_1_Mleh_MBB038,-0.0441289096454889
PC_1_Mleh_MBB045,0.00274937604649192
PC_1_Mleh_ODY6.9,-0.0569945378320826
PC_1_Mleh_Oskar_S12,-0.0467767628067437
PC_1_Mleh_SIB7.1,-0.0456535807411494
PC_1_Mleh_TAD4.32,-0.00887145960872489
PC_1_Mleh_Viola_S12,-0.0471830349369492
PC_1_Mmit_07y06_habe_S12,-0.0466716602345016
PC_1_Mmit_10y07_hely_S12,-0.0474385248064283
PC_1_Mmit_MBB005,-0.0479147972211589
PC_1_Mmit_MBB012,-0.0447701733359071
PC_1_Mmit_PBZT115,-0.0440546008429451
PC_1_Mmit_RMR186,-0.0452217215672303
PC_1_Mmit_RMR187,-0.0393614745546919
PC_1_Mmit_m05y06_hely,-0.0415398773489897
PC_1_Mmam_02y02_oka_S12,-0.0660663956630139
